"","country","iso2c","iso3c","year","NY.GDP.MKTP.CD","SE.XPD.TOTL.GD.ZS","PrePrimary (XSPENDP.02.FDPUB.FNCUR)","Primary (XSPENDP.1.FDPUB.FNCUR)","LowerSecondary (XSPENDP.2.FDPUB.FNCUR)","UpperSecondary (XSPENDP.2T3.FDPUB.FNCUR)","Tertiary (XSPENDP.3.FDPUB.FNCUR)","VocationalTraining (XSPENDP.4.FDPUB.FNCUR)"
"1","Austria","AT","AUT",2019,442983642371.842,5.21779012680054,86.5993728637695,90.7531967163086,95.9584579467773,96.8953170776367,98.0724563598633,99.2502365112305
"2","Belgium","BE","BEL",2019,536726344405.489,6.33397006988525,93.020881652832,94.5743789672852,97.1722564697266,96.7121124267578,96.4712371826172,NA
"3","Bulgaria","BG","BGR",2019,68631726289.2794,4.19902992248535,94.6580810546875,94.114616394043,94.6241912841797,95.2525863647461,95.8466720581055,97.8260879516602
"4","Croatia","HR","HRV",2019,61467582193.6824,3.92007994651794,NA,NA,NA,NA,94.9645233154297,0
"5","Cyprus","CY","CYP",2019,26196667099.5303,5.21260023117065,93.6603317260742,95.6630325317383,97.8258285522461,98.2220764160156,98.5888671875,0
"6","Czechia","CZ","CZE",2019,256794209028.77,4.54246997833252,90.9906616210938,88.451789855957,88.6386337280273,89.007080078125,89.4863204956055,88.3175582885742
"7","Denmark","DK","DNK",2019,345401473012.615,7.25505018234253,94.8449935913086,89.8574523925781,89.8574523925781,92.3438720703125,94.1767425537109,0
"8","Estonia","EE","EST",2019,31873748770.0313,5.26041984558105,NA,86.4041900634766,86.4029769897461,89.1803588867188,92.7514038085938,90.4153213500977
"9","Finland","FI","FIN",2019,267014821129.411,6.41695022583008,92.062629699707,85.0665283203125,85.0258331298828,87.9585876464844,91.4612121582031,NA
"10","France","FR","FRA",2019,2722793515171.76,5.35443019866943,92.3601608276367,91.653938293457,91.3667297363281,90.9904937744141,90.581916809082,91.2479705810547
"11","Germany","DE","DEU",2019,3957208055215.68,5.11552000045776,86.1577224731445,91.6491622924805,92.5135192871094,92.6933975219727,93.0660629272461,94.1205368041992
"12","Greece","GR","GRC",2019,207305649887.019,3.58612990379333,96.9251174926758,97.8388290405273,97.9030685424805,97.2870101928711,96.6131210327148,99.5042266845703
"13","Hungary","HU","HUN",2019,164020460331.659,4.22488021850586,91.3058776855469,93.6029434204102,94.114616394043,92.4022903442383,90.7241134643555,90.3383026123047
"14","Ireland","IE","IRL",2019,407124824064.995,3.2961699962616,NA,90.2823181152344,93.031608581543,93.1970901489258,93.3444213867188,96.5563201904297
"15","Italy","IT","ITA",2019,2019606796583.53,4.09527015686035,88.4764633178711,97.3400802612305,97.2568893432617,96.9186019897461,96.7052001953125,NA
"16","Latvia","LV","LVA",2019,33099503950.847,4.43584012985229,94.495719909668,82.9821701049805,83.1020812988281,81.3826675415039,79.9869766235352,76.6360092163086
"17","Lithuania","LT","LTU",2019,55122066225.796,3.9640998840332,96.5153274536133,93.4474411010742,93.8976821899414,93.6948394775391,93.204460144043,91.7698211669922
"18","Luxembourg","LU","LUX",2019,69890505323.5842,3.73606991767883,87.3424301147461,87.4149322509766,88.3918533325195,88.3922729492188,88.3926620483398,100
"19","Malta","MT","MLT",2019,16337793530.7788,4.8993501663208,97.5498809814453,96.9549789428711,89.9880065917969,90.8070373535156,91.3488922119141,79.5758895874023
"20","Netherlands","NL","NLD",2019,928903005576.469,5.15986013412476,89.2520065307617,89.3332214355469,88.9268112182617,89.029426574707,89.1612930297852,NA
"21","Poland","PL","POL",2019,602683770144.88,4.67881011962891,94.8776016235352,94.1608276367188,94.1608276367188,93.923942565918,93.6602935791016,91.9408874511719
"22","Portugal","PT","PRT",2019,240115970063.019,4.63002014160156,99.8903427124023,99.6943435668945,95.9529113769531,95.9331283569336,95.9127502441406,NA
"23","Romania","RO","ROU",2019,251677082534.495,3.56695008277893,93.509880065918,95.7417221069336,92.9819107055664,94.6784286499023,96.4976501464844,99.581428527832
"24","Slovak Republic","SK","SVK",2019,105843498304.094,4.27311992645264,88.2299728393555,95.4221496582031,97.5505523681641,95.3479080200195,92.3775863647461,91.3910903930664
"25","Slovenia","SI","SVN",2019,53909922735.545,4.89153003692627,92.7706604003906,93.4123229980469,93.4376220703125,93.4818801879883,93.5251693725586,0
"26","Spain","ES","ESP",2019,1403496387686.27,4.23021984100342,96.9245986938477,96.8992767333984,97.6305084228516,97.2399597167969,96.9075317382812,NA
"27","Sweden","SE","SWE",2019,532169294165.94,7.63851022720337,94.9220199584961,95.300537109375,95.3093566894531,94.9449996948242,94.6308898925781,95.0257568359375
"28","United Kingdom","GB","GBR",2019,2851407164907.81,5.26115989685059,98.0663681030273,97.8637237548828,97.6717376708984,97.6716766357422,97.6717376708984,0
